question,answer,options,type
'1957年4月，中共中央发出指示，决定在全党进行一次以正确处理人民内部矛盾为主题，以反对____为内容的整风运动。','A:官僚主义 C:宗派主义 D:主观主义','A:官僚主义 B:党八股  C:宗派主义 D:主观主义','多选题'
'1957年，在接见中国新民主主义青年团第二次全国代表大会主席团时，_____发表了《青年团的工作要照顾青年的特点》的讲话。','毛泽东','A:毛泽东 B:周恩来 C:朱德 D:邓小平','单选题'
'1956年召开的中共八大指出，党和全国人民当前的主要任务是_____。','把我国从落后的农业国变为先进的工业国','A:实现社会主义四个现代化 B:把我国从落后的农业国变为先进的工业国 C:正确处理人民内部矛盾 D:把我国推进到社会主义社会',
'1956年9月15至27日党的八大在北京举行，这次大会明确了国内主要矛盾是_____。','落后的经济文化和人民需要之间的矛盾','A:无产阶级和资产阶级的矛盾 B:落后的经济文化和人民需要之间的矛盾 C:人民群众内部矛盾 D:中华民族和帝国主义的矛盾','单选题'
'1956 年 1 月，浙江省_____青年组成志愿垦荒队，开发“建设伟大祖国的大陈岛”。','温州市','A:温州市 B:杭州市 C:宁波市 D:绍兴市','单选题'
'1955年率团出席亚非会议（万隆会议）的是_____。','周恩来',,
'1955 年 7 月，团中央提出“动员一部分城市中未升学的初中、高小毕业生及其他失业青年参加垦荒工作”。8 月底，全国第一支由 60 人组成的北京青年志愿垦荒队，奔赴 _____。','黑龙江萝北县','A:黑龙江萝北县 B:浙江大陈岛 C:江西省德安县 D:内蒙古自治区布特哈旗','单选题'
'1955 年 12 月，团中央作出《关于在七年内扫除全国农村青年文盲的决定》，决定依靠已有的 3000 多万农村识字青年，扫除全国_____多万农村青年文盲。','7000','A:5000 B:6000 C:7000 D:8000','单选题'
'1955 年 10 月，由 98名青年组成的上海青年志愿垦荒队，到江西鄱阳湖畔安家落户。不久团中央书记胡耀邦专程到那里看望大家，为垦荒队写了_____几个大字。','“共青社”','A:“青年志愿垦荒队” B:“共青社” C:“青年垦荒队” D:“共青农场”','单选题'
'1954年9月，第一届全国人民代表大会第一次会议在北京举行。会议的召开，标志着_____作为新中国的根本政治制度正式确立。','人民代表大会制度','A:共产党领导的多党合作、政治协商制度 B:民族区域自治制度 C:人民代表大会制度 D:一党专政制度','单选题'
'1954 年 1 月，在北京苏联展览馆（今北京展览馆）工地上诞生了全国第一支青年突击队，其队长是_____。','胡耀林','A:李瑞环 B:张百发 C:胡耀林 D:杨华','单选题'
'1953年6.23-7.2，中国新民主青年团在北京隆重召开了第二次65全国代表大会，出席大会的正式代表有795人，列席代表153人，代表全国38万基层组织的_____团员。','900万',,
'1953年12月31日，周恩来在接见_____代表团时，首次系统地提出了国家之间和平共处的五项原则。','印度','A:越南 B:柬埔寨 C:朝鲜 D:印度','单选题'
'1953 年 6 月 23 日至 7 月 2 日，中国新民主主义青年团第二次全国代表大会在北京举行。 _____等当选为团中央书记处书记。','胡耀邦','A:胡耀邦 B:廖承志 C:荣高棠 D:胡克实',
'1951年12月1日，中共中央决定开展“三反”运动，主要内容是____。','A:反贪污 C:反浪费 D:反官僚主义','A:反贪污 B:反行贿 C:反浪费 D:反官僚主义','多选题'
'1950年6月召开了党的七届三中全会。毛泽东指出，我国财政经济状况的根本好转，要用三年左右的时间，创造三个条件，即_______。','A:土地改革的完成 B:现有工商业的合理调整 D:国家机构所需经费的大量节减','A:土地改革的完成 B:现有工商业的合理调整 C:发展重工业 D:国家机构所需经费的大量节减','多选题'
'1950年6月朝鲜战争爆发，10月19日以_____为司令兼政治委员的中国人民志愿军奉命开赴朝鲜战场。','彭德怀','A:贺龙 B:陈毅 C:彭德怀 D:朱德','单选题'
'1950 年 10 月，中国人民解放军总政治部召开全军青年工作会议，毛泽东为会议题词 ：_____。这个题词成为青年团组织发展工作的方针。','“巩固地向前发展” ','A:“稳步地向前发展” B:“积极地向前发展” C:“巩固地向前发展” D:“稳定地向前发展”','单选题'
'1949年的《共同纲领》起了中华人民共和国临时宪法的作用。','正确',,
'1949年9月21日，_____第一届全体会议在北平隆重开幕。毛泽东在开幕词中庄严地宣告：“占人类总数四分之一的中国人从此站立起来了。”','中国人民政治协商会议','A:政务院会议 B:中国人民代表大会 C:中央政治局会议 D:中国人民政治协商会议',
'1949年9月，中国人民政治协商会议第一届全体会议通过的《中国人民政治协商会议共同纲领》，规定了新中国的国体是_____，政体是人民代表大会制度。','人民民主专政','A:无产阶级专政 B:各革命阶级联合专政 C:工农民主专政 D:人民民主专政','单选题'
'1949年6月，毛泽东发表的系统论述中国共产党建国主张的著作是_____。','《论人民民主专政》','A:《目前形势和我们的任务》 B:《论人民民主专政》 C:《新民主主义论》 D:《论联合政府》','单选题'
'1949年4月23日，人民解放军解放了国民党反动统治的中心_____，标志着国民党22年反动统治的崩溃。','南京','A:武汉 B:南京 C:重庆 D:广州','单选题'
'1949年4 月12日，中国新民主主义青年团第一次全国代表大会在北平召开，中共中央书记处书记_____ 代表中共中央向大会作了政治报告。','任弼时','A:周恩来 B:朱德 C:任弼时 D:刘少奇','单选题'
'1949年3月，中国共产党在延安举行了第七届中央委员会第二次全体会议（七届二中全会）。','错误（河北西柏坡）',,
'1949年3月，中共中央在_____召开七届二中全会。毛泽东在会上向全党同志提出了著名的“两个务必”。','西柏坡',,
'1949年，中国人民政治协商会议第一届全体会议代行全国人民代表大会的职权，通过具有临时宪法作用的_____，选举产生中央人民政府委员会。','《中国人民政治协商会议共同纲领》',,
'1949 年 5 月，中华全国青年第一次代表大会在北平召开，宣告中华全国民主青年联合总会成立。在第一次全国委员会议上，_____被推举为主席。','廖承志 ','A:冯文彬 B:廖承志 C:钱三强 D:钱俊瑞','单选题'
'1947年《中国土地法大纲》规定的土地分配办法是_____。','按人口平均分配土地','A:按人口平均分配土地 B:按阶级成分分配土地 C:按各地情况采取不同标准分地 D:按实际劳动力分配土地','单选题'
'1947年6月30日，_____率领晋冀鲁豫野战军主力突破黄河天险，挺进大别山，揭开了人民解放战争战略进攻的序幕。','刘伯承、邓小平','A:刘伯承、邓子恢 B:刘少奇、邓小平 C:陈赓、谢富治 D:刘伯承、邓小平',
'1947年3月，国民党军胡宗南部 25 万人围攻_____解放区，标志着国民党从全面进攻转为重点进攻的开始。','陕北','A:陕北 B:晋冀鲁豫 C:晋察冀 D:华东','单选题'
'1946年8月，毛泽东同美国记者安娜·路易斯·斯特朗的谈话中提出了_____的著名论断。这一论断使中国人民极大地增强了斗争的勇气和信心。','一切反动派都是纸老虎',,
'1946年6月底，国民党军队不顾全国人民的强烈发对，以_____为起点，全面内战爆发。','进攻中原解放区','A:孟良崮战役 B:进攻陕北解放区 C:进攻山东解放区 D:进攻中原解放区','单选题'
'1946年1月，在重庆召开的政治协商会议的中心议题，是关于政治民主化和军队国家化的问题。','正确','A:正确 B:错误 ','判断题'
'1946年10月底试建的_____冯庄团支部是人民解放战争时期的第一个农村团支部。','新民主主义青年团','A:毛泽东青年团 B:民主青年团 C:新民主主义青年团 D:青年先锋队','单选题'
'1945年5月，在延安召开_____成立大会。该组织的成立，标志着解放区青年运动和青年统一战线进入一个新的发展时期。','解放区青年联合会筹备委员会','A:解放区青年联合会 B:解放区青年联合会筹备委员会 C:解放区青年联合会委员会 D:解放区青年联合会工作委员会','单选题'
'1941年5月，毛泽东在延安高级干部会议上作了_____的报告，标志着整风运动开始。','《改造我们的学习》','A:《改造我们的学习》 B:《论联合政府》 C:《新民主主义论》 D:《中国社会各阶级的分析》','单选题'
'1941年1月，国民党军队在安徽茂林包围袭击奉命北移的新四军军部及所属部队，事后蒋介石反诬新四军“叛变”，宣布取消新四军番号。这次事件被称为_____。','皖南事变','A:皖南事变 B:晋西事变 C:黄桥战役 D:平津战役','单选题'
'1940年3月，在南京成立伪国民政府的是_____。','汪精卫','A:溥仪 B:汪精卫 C:何应钦 D:蒋介石','单选题'
'1939年和1940年，毛泽东先后发表了_____、_____和 _____等著作，系统完整地提出了新民主主义理论，标志着毛泽东思想的成熟。','B:《<共产党人>发刊词》 C:《中国革命和中国共产党》 D:《新民主主义论》','A:《论联合政府》 B:《<共产党人>发刊词》 C:《中国革命和中国共产党》 D:《新民主主义论》','多选题'
'1939年7月7日，在华北联合大学举行的开学典礼上，毛泽东首次将_____称之为中国革命中战胜敌人的三个法宝。','统一战线、武装斗争、党的建设',,
'1939年5月4日，延安青年举行“五•四”运动二十周年纪念大会，毛泽东到会作了_____的演讲。','《青年运动的方向》','A:《为抗日救国向全国各校学生和各界青年同胞宣言》 B:《现阶段青年运动的性质与任务》 C:《青年运动的方向》 D:《青年团的工作要照顾青年的特点》','单选题'
'1939年1月召开的国民党五届五中全会，制定了_____、_____和 _____的方针来针对中国共产党','A:溶共 B:防共 C:限共 ','A:溶共 B:防共 C:限共 D:克共','多选题'
'1938年10月10日至11月21日，西北青救会在延安召开了西北青年第二次救国代表大会。会议决定成立“_____”作为全国青年抗日救国运动的领导机关。','中华青年救国团体联合办事处','A:中华青年救亡团体联合办事处 B:中华青年救国组织联合办事处 C:中华青年救国团体联合办事处 D:中华青年救亡组织联合办事处','单选题'
'1938年10月，广州、武汉相继失陷后，中国的抗日战争进入_____。','战略相持阶段','A:战略反攻阶段 B:战略相持阶段 C:战略防御阶段 D:战略进攻阶段',
'1936年12月12日，东北军一部以迅速行动包围临潼华清池，扣押了蒋介石。张学良和杨虎城向全国发出停止内战、一致抗日的通电。这边是震惊中外的_______。','西安事变','A:上海事变 B:南京事变 C:西安事变 D:皖南事变','单选题'
'1936年11月1日，中共中央政治局会议作出了《关于青年工作的决定》。决定的基本精神是将共青团改造成为 _____。','抗日民族统一战线','A:民族解放性质青年群众团体  B:中华民族解放先锋队　 C:抗日救国青年团 D:抗日民族统一战','单选题'
'1935年中国共产党发表了著名的“八一宣言”，提出了_____的口号。','停止内战，一致抗日',,
'1933年5月，团中央根据红军总政治部建议建立了 _____。','少共国际师','A:红四团  B:轻骑队 C:少共国际师 D:赤卫队','单选题'
'1933年1月，团中央机关从上海迁入_____，少共苏区中央局并入团中央机关，称少共中央局，即共青团中央局。','江西瑞金','A:江西万安  B:江西瑞金 C:陕北瓦窑堡 D:福建古田','单选题'
'1931年土地革命的总路线是依靠贫雇农，联合中农，限制富农，保护中小工商业者，消灭地主阶级，变封建半封建的土地所有制为农民的土地所有制。','正确',,
'1931年11月7日，中华苏维埃第一次全国代表大会在_____召开，成立了中华苏维埃共和国临时中央政府。','瑞金','A:南昌 B:井冈山 C:遵义 D:瑞金','单选题'
'1930年9月团中央遵照中共中央的指示，决定在中央革命根据地设立团苏区中央局少共苏区中央局。_____年4月团苏区中央局正式建立，顾作霖担任团苏区中央局书记。','1931','A:1930 B:1931 C:1932 D:1934','单选题'
'1930年1月，毛泽东阐述中国革命“以乡村为中心”思想的著作是_____。','《星星之火 可以燎原》',,
'1928年7月12日至16日中国共青团在_____召开了第五次全国代表大会。','莫斯科','A:莫斯科 B:瑞金 C:武汉 D:井冈山',
'1928年6月18日至7月11日，中国共产党第六次全国代表大于在_____召开。','莫斯科','A:莫斯科 B:北京 C:武汉 D:上海','单选题'
'1927年毛泽东提出“政权是由枪杆子中取得的”思想是在_______。','八七会议上','A:南昌起义时 B:八七会议上 C:文家市决策时 D:秋收起义后',
'1927年9月进行的三湾改编提出“______”的重要原则，是把工农革命军建设成为无产阶级领导的新型人民军队的重要开端。','支部建在连上','A:支部建在军事指挥机关 B:支部建在师部 C:支部建在连上 D:支部建在团上','单选题'
'1927年8月1日，由周恩来、谭平山、 叶挺、朱德等人领导南昌起义，打响了武装反抗国民党反动派的第一枪。。','1927年',,
'1927年8月1日，______打响了武装反抗国民党反动派的第一枪，标志着中国共产党独立领导革命战争、创建人民军队和武装夺取政权的开始。','南昌起义','A:南昌起义 B:秋收起义 C:广州起义 D:上海工人三次武装起义','单选题'
'1927 年 5 月 10 日至 16 日，共青团在武汉召开第四次全国代表大会。会后召开的团中央全会上，选出了由 7 名正式委员、3 名候补委员组成的团中央局，___ 当选为总书记。','任弼时',,'单选题'
'1925年在青年团三届一中全会上_____当选团中央局负责人。','张太雷','A:张太雷 B:任弼时 C:林育南 D:恽代英','单选题'
'1925 年 1 月在上海召开的中国社会主义青年团第三次全国代表大会上作出决定：将中国社会主义青年团改名为_____ 。','中国共产主义青年团','A:中国共产主义青年团 B:中国共产青年团 C:中国少年共产党 D:少年共产团','单选题'
'1925 年 1 月在上海召开的中国社会主义青年团第三次全国代表大会上进行的团章修改中，将入团的年龄由 15--28 岁改为_____岁。','14—25','A:14—25 B:14—28 C:15—25 D:15—30','单选题'
'1924年至1927年，一场以推翻帝国主义在华势力和北洋军阀为目标的革命运动，似滚滚洪流席卷中国大地。人们通常把它称为“大革命”或“国民革命”。1927年大革命失败后，中国共产党确定了_______的总方针。','土地革命和武装反抗国民党反动派统治','A:开展工人运动 B:城市暴动和武装反抗国民党反动派统治 C:争取中间力量和通过合法斗争夺权 D:土地革命和武装反抗国民党反动派统治','单选题'
'1923年8月20日至25日，中国社会主义青年团第二次全国代表大会在____ 召开。','南京','A:上海 B:北京 C:南京 D:广州','单选题'
'1923年2月7日，军阀吴佩孚在帝国主义的支持下，制造了震惊中外的二七惨案，标志着全国第一次工人运动高潮结束。','正确','A:正确 B:错误 ','判断题'
'1922年8月召开的西湖会议，中心议题是_____。','讨论与国民党合作问题','A:讨论与国民党合作问题 B:确定党的最高纲领 C:实现反帝反军阀 D:成立中央执行委员会','单选题'
'1922年7月16日至23日，中国共产党第二次全国代表大会在_____召开。','上海',,
'1922年7月，党的二大第一次提出了明确的______的民主革命纲领。','反帝反封建','A:土地革命 B:反帝反封建 C:社会主义革命 D:民族革命','单选题'
'1922 年 7 月，党的二大第一次在全国人民面前提出明确的_____的民主革命纲领。','反帝反封建','A:土地革命 B:反帝反封建 C:社会主义革命 D:民族革命','单选题'
'1921年_____，党的一大在上海开幕，最后一天的会议转移到浙江嘉兴南湖举行。','7月23日','A:6月30日 B:7月1日 C:7月5日 D:7月23日','单选题'
'1921年7月23日，党的一大在上海开幕，后因代表们的活动受到监视，大会转移到______继续召开。党的一大的召开宣告中国共产党正式成立。','嘉兴南湖','A:杭州西湖 B:嘉兴南湖 C:绍兴东湖 D:宁波东钱湖','单选题'
'1920年8月，陈独秀等领导建立的中国最早的共产党组织是_____。','上海共产主义小组',,
'1919年5月4日，五四爱国运动爆发的直接导火索是_____。','巴黎和会上中国外交的失败','A:日本制造“济南惨案” B:日本出兵占领青岛 C:《凡尔赛和约》的签订 D:巴黎和会上中国外交的失败','单选题'
'1919年5月，中国最早的马克思主义者_____在《新青年》发表《我的马克思主义观》，系统地介绍了马克思主义。','李大钊','A:李大钊 B:陈独秀 C:邓中夏 D:董必武',
'1919年-1921年，中国早期马克思主义者同反马克思主义者进行的三次论战分别是：','B.关于“问题”与“主义”的论战 关于社会主义的论战 D.同以区声白、黄凌霜等人为代表的无政府主义者的论战 ','A.关于是否进行武装斗争的论战 B.关于“问题”与“主义”的论战 C.关于社会主义的论战 D.同以区声白、黄凌霜等人为代表的无政府主义者的论战 ','多选题'
'1915年9月，_____在上海创办《青年杂志》，后更名为《新青年》。','陈独秀',,
'1915 年 9 月，陈独秀在上海创办了_____ ，从此拉开了近代中国第一次思想解放运动——新文化运动的序幕。','《新青年》','A:《新青年》 B:《青年杂志》 C:《青春》 D:《新潮》','单选题'
'021年秋季学期中央党校（国家行政学院）中青年千部培训班9月1日上午在中央党校开班。习近平在开班式上发表重要讲话强调。坚持从实际出发，前提是深入实际、了解实际，只有这样才能做到事实就是。要了解实际，就要掌握_____这个基本功。。','调查研究',,
'.跨入新世纪，我国进入全面建设小康社会、加快推进社会主义现代化的新的发展阶段。必须按照中国特色社会主义事业“五位一体”总体布局和“四个全面”战略布局，统筹推进经济建设、政治建设、文化建设、社会建设、生态文明建设，协调推进______。','全面建成小康社会','A:全面建成小康社会 B:全面深化改革 C:全面依法治国 D:全面从严治党','多选题'
' 反对_____以整顿学风，是 1942 年开始的全党普遍整风运动的主要内容之一。','主观主义','A:封建主义 B:自由主义 C:主观主义 D:官僚主义',
' 党的十九届六中全会指出_____也是 划时代的，实现改革由局部探索、破冰突围到系统集成、全面深化的转变，开创了我国改革开放新局面。','党的十八届三中全会',,
' 党的十九届六中全会指出，马克思主义的科学性和真理性在中国得到充分检验，马克思主义的_____在中国得到充分贯彻，马克思主义的开放性和时代性在中国得到充分彰显。','B 人民性和实践性',,
' ___年 2 月 15 日，共青团中央发出《关于在全国青少年中广泛开展“学习雷锋”的教育活动的通知》，在青少年中广泛开展学习雷锋教育活动。','1963','A:1961 B:1962 C:1963 D:1964','单选题'
' _____年12月，毛泽东总结了土地革命的经验，在井冈山主持制定了中国共产党历史上第一部土地法——井冈山《土地法》。','B 1928年',,
' _____年 9 月 4 日，全国人大常委会审议通过了《中华人民共和国未成年人保护法》。','1991','A:1990 B:1991 C:1992 D:1993','单选题'
' _____年 12 月，中央人民政府政务院正式宣布五月四日为“青年节”。','1949','A:1921 B:1949 C:1950 D:1951','单选题'
' _____坚决纠正和结束了陈独秀的右倾机会主义错误，撤销了陈独秀的总书记职务，并选举产出了新的中共中央临时政治局。','C 八七会议',,
' _____，中共中央发出《关于建立中国新民主主义青年团的决议》，明确规定了中国新民主主义青年团的性质、任务、建团方针和步骤。','1949 年 1 月 1 日','A:1948 年 9 月 1 日 B:1948 年 12 月 27 日 C:1949 年 1 月 1 日 D:1949 年 4 月 11 日','单选题'
' 2012年10月24日，中电海康集团与杭州未来科技城（海创园）管委会签署用地投资协议书。','错误（52所）',,
' 1965年10月25日，_____正式在太原市河西区和平南路159号(太原市115信箱)挂牌。由于国防科委第二研究院并入第四机械工业部，第二研究所改由第十研究院直接领导。','第四机械工业部第二研究所',,
' 1956年1月，浙江省_____青年组成志愿垦荒队，开发“建设伟大祖国的大陈岛”。','A温州市',,
' 1946年1月，在重庆召开的政治协商会议的中心议题，是关于政治民主化和军队国家化的问题_____。','A 正确',,
' 1922年8月召开的西湖会议，中心议题是_____。','A讨论与国民党合作问题',,
'_____年6月18日，重庆直辖市正式成立。','1997年','A:1995年 B:1996年 C:1997年 D:1998年','单选题'
'延安精神的基本内涵包括哪些？','A:自力更生、艰苦奋斗的精神 B:坚持真理、纠正错误的精神 C:实事求是、民主团结的精神 D:依靠群众、服务群众的精神','A:自力更生、艰苦奋斗的精神 B:坚持真理、纠正错误的精神 C:实事求是、民主团结的精神 D:依靠群众、服务群众的精神','多选题'
'社会主义和谐社会的总要求是：_____、_____、_____、充满活力、安定有序、_____。','A:民主法治 B:公平正义 C:诚信友爱 D:人与自然和谐相处','A:民主法治 B:公平正义 C:诚信友爱 D:人与自然和谐相处','多选题'
'2021年11月18日，中共中央政治局召开会议。会议强调，要强化_____作为国家安全和发展的战略支撑作用。','科技自立自强','A:文化发展 B:制度建设 C:经济高质量发展 D:科技自立自强','单选题'
'社会主义的根本任务是_____。','解放和发展生产力','A:解放和发展生产力 B:发展社会主义经济 C:解放思想，事实就是 D:坚持社会主义道路','单选题'
'今年5月，为深入贯彻落实习近平总书记在庆祝共青团成立100周年大会上的重要讲话精神，落实国资委党委有关部署，中国电科在全系统开展青年精神素养提升工程。为此，陈宗年书记对海康的青年精神素养提升工程提出了“三军”建设的目标，关于“三军”表述以下哪几项是正确的？','A:培养敢打硬仗生力军 B:锻造能挑大梁主力军 C:争当创新驱动发展先行军 ','A:培养敢打硬仗生力军 B:锻造能挑大梁主力军 C:争当创新驱动发展先行军 D:缔造能打胜仗主力军','多选题'
'2018年，以下哪一项关于中电海康的表述是正确的？','A:营业收入超500亿元 C:员工人数突破4万人 D:发布物信融合数据平台','A:营业收入超500亿元 B:海外营收未超百亿 C:员工人数突破4万人 D:发布物信融合数据平台','多选题'
'千条线万条线，团干部提高各方面的能力，重点要提高_____能力。','做青年工作','A:做青年工作 B:做群众工作 C:学习 D:实践','单选题'
'中国梦的第二个宏伟目标是，在中华人民共和国成立100年时，建成富强民主文明和谐的社会主义现代化国家。','正确','A:正确 B:错误 ','判断题'
'中共十九大报告指出，深化国家监察体制改革，将试点工作在全国推开，组建国家、省、市、县_____，同党的纪律检查机关合署办公，实现对所有行使公权力的公职人员监察全覆盖。','监察委员会','A:监察委员会 B:检察委员会 C:巡察委员会 D:巡视委员会','单选题'
'正式决定与孙中山领导的国民党合作，建立国民革命联合战线的方针，是在中国共产党第_____次全国代表大会上通过的。','三大','A:三大 B:四大 C:五大 D:六大','单选题'
'2012年6月27日，蛟龙号载人潜水器最大下潜深度达到_____米，实现了我国深海装备和深海技术的重大突破，标志着中国海底载人科学研究和资源勘探能力达到国际领先水平。','7062米 ','A:7062米 B:8062米 C:9062米 D:6062米','单选题'
'党的十九届六中全会指出，党坚持改革正确方向，以促进社会公平正义、_____为出发点和落脚点。','增进人民福祉','A:促进社会和谐稳定 B:增进人民福祉 C:实现人民对美好生活的向往 D:实现共同富裕','单选题'
'2018年7月2日，习近平总书记在同团中央新一届领导班子成员集体谈话中强调：新时代的青年工作要毫不动摇坚持党的领导，坚定不移走_____，紧紧围绕、始终贯穿为实现中国梦而奋斗的主题，让广大青年_____。','A:中国特色社会主义群团发展道路敢于有梦、勇于追梦、勤于圆梦','A:中国特色社会主义群团发展道路敢于有梦、勇于追梦、勤于圆梦 B:新时代中国特色社会主义群团发展道路敢于有梦、善于追梦、勇于圆梦 C:新时代中国特色社会主义群团发展道路敢于有梦、勇于追梦、勤于圆梦 D:中国特色社会主义群团发展道路敢于有梦、善于追梦、勇于圆梦','单选题'
'伟大长征精神，是中国共产党人及其领导的人民军队_____的生动反映，是中华民族自强不息的_____的集中展示，是以爱国主义为核心的民族精神的最高体现。——习近平在纪念红军长征胜利80周年大会上的讲话（全文）','B:革命风范 D:民族品格','A:革命功绩 B:革命风范 C:集体品质 D:民族品格','多选题'
'1922年1月15日，中国社会主义青年团机关刊物《先驱》在_____创刊。','北京','A:北京 B:上海 　 C:广州 D:武汉','单选题'
'一百年来，党领导人民，浴血奋战、百折不挠，创造了_____的伟大成就。','新民主主义革命','A:社会主义革命和建设 B:新民主主义革命 C:改革开放和社会主义现代化建设 D:新时代中国特色社会主义','单选题'
'建设马克思主义学习型政党的基本要求是_____。','A:推进马克思主义中国化、时代化、大众化 B:用中国特色社会主义理论体系武装全党 C:开展社会主义核心价值体系学习教育 D:建设学习型党组织','A:推进马克思主义中国化、时代化、大众化 B:用中国特色社会主义理论体系武装全党 C:开展社会主义核心价值体系学习教育 D:建设学习型党组织','多选题'
'从1928年10月至11月，毛泽东先后发表《中国的红色政权为什么能够存在？》、《井冈山的斗争》等文章，标志着工农武装割据思想基本形成。','正确','A:正确 B:错误 ','判断题'
'在中国共产党第_____次全国代表大会上，第一次明确提出了彻底的反帝反封建的民主革命纲领。','二大','A:二大 B:三大 C:四大 D:五大','单选题'
'群团组织作为一个整体，作为一个成员众多、有着几千万甚至几亿成员的组织，必须把保持和增强_____作为重要着力点。','先进性','A:代表性 B:政治性 C:先进性 D:群众性','单选题'
'2003年8月，五十二所机械电器厂和四康电子公司进行资产重组，重组后溢价出让部分净资产给意大利DuralampInternationalS.A.公司，成立了中意合资“杭州意博高科电器有限公司”，成为浙江省首家利用外资进行改组的国有企业。注册资本为1056.7928万元人民币，专业从事节能照明产品开发、生产和销售。','正确','A:正确 B:错误 ','判断题'
'中国电科预警机精神是指？','A:自力更生 B:创新图强 C:协同作战 D:顽强拼搏','A:自力更生 B:创新图强 C:协同作战 D:顽强拼搏','多选题'
'并购重组的老牌国企凤凰光学明转亏为盈，确定了以_____为主业方向，持续发力光学事业群、电子事业群，强化产业布局，提高核心竞争力，实现了营收和利润的双增长。','智能控制器','A:智能控制器 B:全面感知 C:数据处理和应用 D:存储计算','单选题'
'2016年-2020年，一下哪些关于中电海康的表述是正确的？','B:业务全面数字化转型 C:营业收入实现翻番 D:复合增长18.56%','A:改革尚未全面深入 B:业务全面数字化转型 C:营业收入实现翻番 D:复合增长18.56%','多选题'
'2021年11月，凤凰光学仪器BU立项研发BMC50系列生物显微镜。经过仪器技术课的共同努力，2022年3月2日，对BMC50生物显微镜新品样机进行评审，并顺利通过。该产品的成功研发是对凤凰中低端显微镜进行升级，填补了中低端显微镜的市场空白。','正确','A:正确 B:错误 ','判断题'
'中电海康三大战略成果分别是？','A:一套完整的物联网体系架构 B:一套成熟的技术创新体系 C:一支几万人的年轻、专业、有活力的人才团队','A:一套完整的物联网体系架构 B:一套成熟的技术创新体系 C:一支几万人的年轻、专业、有活力的人才团队 D:一套完整的互联网体系架构','多选题'
'十九大的主题是：不忘初心______，高举中国特色社会主义伟大旗帜，决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利，为实现中华民族伟大复兴的中国梦不懈奋斗。','牢记使命','A:继续前进 B:牢记使命 C:方得始终 D:砥砺前行','单选题'
'党的十九届六中全会指出，改革开放和社会主义现代化建设的胜利，为实现中华民族伟大复兴创造了_____。','充满新的活力的体制保证和快速发展的物质条件',,
'2018年7月2日习近平总书记在同团中央新一届领导班子成员集体谈话中强调：要加强对青年_____，_____就是团旗所向。','政治引导 党旗所指','A:政治引领 党旗所指 B:政治引导 党旗所指 C:政治引领 党的要求 D:政治引导 党的要求','单选题'
'1999 年 11 月 20 日，我国成功发射第一艘载人航天试验飞船“_____号”，标志着我国载人航天技术有了新的重大突破。','神舟','A:长征 B:神舟 C:嫦娥 D:神州','单选题'
'党的八大的召开，标志着中国共产党探索自己的建设社会主义的道路取得初步的成果。在这之前，毛泽东的_______则是这一探索的开始。','《论十大关系》','A:《十年总结》 B:《论社会主义》 C:《论十大关系》 D:《关于在农村建立人民公社问题的决议》','单选题'
'1931年11月7日召开的中华苏维埃第一次全国代表大会，_____被选为中华苏维埃共和国临时中央政府中央执行委员会主席和中央执行委员会人民委员会主席。','毛泽东','A:瞿秋白 B:毛泽东 C:王明 D:李立三','单选题'
'1927年9月进行的三湾改编提出“_____”的重要原则，是把工农革命军建设成为无产阶级领导的新型人民军队的重要开端。','支部建在连上','A:支部建在连上 B:支部建在团上 C:支部建在师部 D:支部建在军事指挥机关','单选题'
'1989 年 10 月 30 日，中国青少年发展基金会建立第一个“救助贫困地区失学少年68基金”，并把这项活动命名为_____ 。','希望工程','A:希望工程 B:春蕾计划 C:温暖工程 D:温暖行动','单选题'
'新文化运动的两大口号是_____。','民主和科学','A:新道德和新文学 B:自由和民主 C:民主和科学 D:民权和平等','单选题'
'以下哪些是中电海康在持续发展阶段（2001~2015年）获得的成果？','A:持续改革持续创新 B:保持企业可持续发展 C:企业家逐步成熟','A:持续改革持续创新 B:保持企业可持续发展 C:企业家逐步成熟 D:出现企业家雏形','多选题'
'中国电科的保密理念是保密责任重于泰山。','正确','A:正确 B:错误 ','判断题'
'2002年，所里合并了自己最强的两个公司——康银公司和四康智能设备厂，成立浙江海康信息技术股份有限公司。','正确','A:正确 B:错误 ','判断题'
'从近代到新中国成立前我国第一次取得对外反侵略战争完全胜利的是_____。','抗日战争','A:甲午战争 B:三元里人民抗英斗争 C:抗日战争 D:鸦片战争','单选题'
'1953 年 6 月 23 日至 7 月 2 日，中国新民主主义青年团在北京隆重召开了第二次65全国代表大会。出席大会的正式代表 795 人，列席代表 153 人，代表全国 38 万余基层组织的_____名团员。','900 万','A:700 万 B:800 万 C:900 万 D:1000 万','单选题'
'在习近平新时代中国特色社会主义思想的宏大体系中，习近平总书记关于青年工作的重要思想熠熠生辉。总书记强调把握青年工作的_____，要求始终站在_____的制高点上，把握青年脉搏，引领青年风尚，采取青年喜闻乐见、易于接受的形式，不断增强吸引力凝聚力和有效覆盖面。——习近平总书记近日在中南海同团中央新一届领导班子成员集体谈话时发表的重要讲话','C:基本规律 D:理想信念','A:基本原则 B:思想精神 C:基本规律 D:理想信念','多选题'
